reel,filename,category,duration,hook,observation,caption,question,hashtags,cta,formatted_caption,viral_caption,viral_question,viral_hashtags,viral_cta,viral_formatted_caption,reflective_caption,reflective_question,reflective_hashtags,reflective_cta,reflective_formatted_caption,product_caption,product_question,product_hashtags,product_cta,product_formatted_caption
26,reels/nazar-reel-026.mp4,train rides,12,window blur,The fields outside blurred into one green sentence I could not read fast enough.,The fields outside blurred into one green sentence I could not read fast enough.,What did the window give back to you today?,#nazarapp #trainride #commuterlife #quietbeauty,Try Nazar.,"The fields outside blurred into one green sentence I could not read fast enough.

What did the window give back to you today?

#nazarapp #trainride #commuterlife #quietbeauty

Try Nazar.",The fields outside blurred into one green sentence I could not read fast enough.,Would you have noticed this?,#nazarapp #trainride #commuterlife #quietbeauty #sharethis,Send this to someone who notices small things.,"The fields outside blurred into one green sentence I could not read fast enough.

Would you have noticed this?

#nazarapp #trainride #commuterlife #quietbeauty #sharethis

Send this to someone who notices small things.","The fields outside blurred into one green sentence I could not read fast enough. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty,Return to the smallest true thing.,"The fields outside blurred into one green sentence I could not read fast enough. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty

Return to the smallest true thing.",The fields outside blurred into one green sentence I could not read fast enough. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #trainride #commuterlife #quietbeauty,Try Nazar.,"The fields outside blurred into one green sentence I could not read fast enough. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #trainride #commuterlife #quietbeauty

Try Nazar."
27,reels/nazar-reel-027.mp4,train rides,8,shared table,Four strangers placed their coffees in the same careful square on the train table.,Four strangers placed their coffees in the same careful square on the train table.,What did you notice between where you were and where you were going?,#nazarapp #trainride #commuterlife #quietbeauty,Keep one small thing in Nazar.,"Four strangers placed their coffees in the same careful square on the train table.

What did you notice between where you were and where you were going?

#nazarapp #trainride #commuterlife #quietbeauty

Keep one small thing in Nazar.",Four strangers placed their coffees in the same careful square on the train table.,What tiny detail did you almost miss today?,#nazarapp #trainride #commuterlife #quietbeauty #sharethis,Save this before the day gets loud.,"Four strangers placed their coffees in the same careful square on the train table.

What tiny detail did you almost miss today?

#nazarapp #trainride #commuterlife #quietbeauty #sharethis

Save this before the day gets loud.","Four strangers placed their coffees in the same careful square on the train table. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty,Carry the detail with you.,"Four strangers placed their coffees in the same careful square on the train table. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty

Carry the detail with you.",Four strangers placed their coffees in the same careful square on the train table. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #trainride #commuterlife #quietbeauty,Download Nazar.,"Four strangers placed their coffees in the same careful square on the train table. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #trainride #commuterlife #quietbeauty

Download Nazar."
28,reels/nazar-reel-028.mp4,train rides,9,late train,A boy counted the blue seats with his finger while everyone else sighed at the delay.,A boy counted the blue seats with his finger while everyone else sighed at the delay.,What small thing changed when the train started moving?,#nazarapp #trainride #commuterlife #quietbeauty,Notice with Nazar.,"A boy counted the blue seats with his finger while everyone else sighed at the delay.

What small thing changed when the train started moving?

#nazarapp #trainride #commuterlife #quietbeauty

Notice with Nazar.",A boy counted the blue seats with his finger while everyone else sighed at the delay.,Why do moments like this stay with us?,#nazarapp #trainride #commuterlife #quietbeauty #sharethis,Share this with someone who would understand.,"A boy counted the blue seats with his finger while everyone else sighed at the delay.

Why do moments like this stay with us?

#nazarapp #trainride #commuterlife #quietbeauty #sharethis

Share this with someone who would understand.","A boy counted the blue seats with his finger while everyone else sighed at the delay. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty,Let the ordinary be enough.,"A boy counted the blue seats with his finger while everyone else sighed at the delay. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty

Let the ordinary be enough.",A boy counted the blue seats with his finger while everyone else sighed at the delay. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #trainride #commuterlife #quietbeauty,Start noticing with Nazar.,"A boy counted the blue seats with his finger while everyone else sighed at the delay. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #trainride #commuterlife #quietbeauty

Start noticing with Nazar."
29,reels/nazar-reel-029.mp4,train rides,10,quiet carriage,The quiet carriage was not silent; it was full of pages turning and coats shifting.,The quiet carriage was not silent; it was full of pages turning and coats shifting.,What did the window give back to you today?,#nazarapp #trainride #commuterlife #quietbeauty,Save it in Nazar.,"The quiet carriage was not silent; it was full of pages turning and coats shifting.

What did the window give back to you today?

#nazarapp #trainride #commuterlife #quietbeauty

Save it in Nazar.",The quiet carriage was not silent; it was full of pages turning and coats shifting.,Who would understand this kind of noticing?,#nazarapp #trainride #commuterlife #quietbeauty #sharethis,Keep this for your next quiet moment.,"The quiet carriage was not silent; it was full of pages turning and coats shifting.

Who would understand this kind of noticing?

#nazarapp #trainride #commuterlife #quietbeauty #sharethis

Keep this for your next quiet moment.","The quiet carriage was not silent; it was full of pages turning and coats shifting. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty,Let one small thing stay with you.,"The quiet carriage was not silent; it was full of pages turning and coats shifting. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty

Let one small thing stay with you.",The quiet carriage was not silent; it was full of pages turning and coats shifting. Nazar gives these small observations a quiet place to live.,What did you notice that you would want to remember later?,#nazarapp #trainride #commuterlife #quietbeauty,Keep it in Nazar.,"The quiet carriage was not silent; it was full of pages turning and coats shifting. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #trainride #commuterlife #quietbeauty

Keep it in Nazar."
30,reels/nazar-reel-030.mp4,train rides,11,arrival light,"When we came out of the tunnel, the whole carriage filled with gold for three seconds.","When we came out of the tunnel, the whole carriage filled with gold for three seconds.",What did you notice between where you were and where you were going?,#nazarapp #trainride #commuterlife #quietbeauty,Open Nazar when something small stays with you.,"When we came out of the tunnel, the whole carriage filled with gold for three seconds.

What did you notice between where you were and where you were going?

#nazarapp #trainride #commuterlife #quietbeauty

Open Nazar when something small stays with you.","When we came out of the tunnel, the whole carriage filled with gold for three seconds.",What is the smallest thing you saved today?,#nazarapp #trainride #commuterlife #quietbeauty #sharethis,Send it to the friend who notices everything.,"When we came out of the tunnel, the whole carriage filled with gold for three seconds.

What is the smallest thing you saved today?

#nazarapp #trainride #commuterlife #quietbeauty #sharethis

Send it to the friend who notices everything.","When we came out of the tunnel, the whole carriage filled with gold for three seconds. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty,Keep looking softly.,"When we came out of the tunnel, the whole carriage filled with gold for three seconds. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty

Keep looking softly.","When we came out of the tunnel, the whole carriage filled with gold for three seconds. Nazar gives these small observations a quiet place to live.",What did today give you that is worth writing down?,#nazarapp #trainride #commuterlife #quietbeauty,Open Nazar and save one thing.,"When we came out of the tunnel, the whole carriage filled with gold for three seconds. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #trainride #commuterlife #quietbeauty

Open Nazar and save one thing."
31,reels/nazar-reel-031.mp4,family moments,7,kitchen doorway,My father stood in the kitchen doorway eating toast over a plate he did not need.,My father stood in the kitchen doorway eating toast over a plate he did not need.,What small family gesture did you want to keep?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Try Nazar.,"My father stood in the kitchen doorway eating toast over a plate he did not need.

What small family gesture did you want to keep?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Try Nazar.",My father stood in the kitchen doorway eating toast over a plate he did not need.,Would you have noticed this?,#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis,Send this to someone who notices small things.,"My father stood in the kitchen doorway eating toast over a plate he did not need.

Would you have noticed this?

#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis

Send this to someone who notices small things.","My father stood in the kitchen doorway eating toast over a plate he did not need. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty,Return to the smallest true thing.,"My father stood in the kitchen doorway eating toast over a plate he did not need. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty

Return to the smallest true thing.",My father stood in the kitchen doorway eating toast over a plate he did not need. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Try Nazar.,"My father stood in the kitchen doorway eating toast over a plate he did not need. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Try Nazar."
32,reels/nazar-reel-032.mp4,family moments,8,voice note,My mother laughed at the end of a voice note because she forgot what she was saying.,My mother laughed at the end of a voice note because she forgot what she was saying.,What ordinary kindness happened in your home today?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Keep one small thing in Nazar.,"My mother laughed at the end of a voice note because she forgot what she was saying.

What ordinary kindness happened in your home today?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Keep one small thing in Nazar.",My mother laughed at the end of a voice note because she forgot what she was saying.,What tiny detail did you almost miss today?,#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis,Save this before the day gets loud.,"My mother laughed at the end of a voice note because she forgot what she was saying.

What tiny detail did you almost miss today?

#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis

Save this before the day gets loud.","My mother laughed at the end of a voice note because she forgot what she was saying. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty,Carry the detail with you.,"My mother laughed at the end of a voice note because she forgot what she was saying. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty

Carry the detail with you.",My mother laughed at the end of a voice note because she forgot what she was saying. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Download Nazar.,"My mother laughed at the end of a voice note because she forgot what she was saying. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Download Nazar."
33,reels/nazar-reel-033.mp4,family moments,9,small shoes,The smallest shoes by the door were placed perfectly side by side by no adult at all.,The smallest shoes by the door were placed perfectly side by side by no adult at all.,What detail made someone feel especially familiar?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Notice with Nazar.,"The smallest shoes by the door were placed perfectly side by side by no adult at all.

What detail made someone feel especially familiar?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Notice with Nazar.",The smallest shoes by the door were placed perfectly side by side by no adult at all.,Why do moments like this stay with us?,#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis,Share this with someone who would understand.,"The smallest shoes by the door were placed perfectly side by side by no adult at all.

Why do moments like this stay with us?

#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis

Share this with someone who would understand.","The smallest shoes by the door were placed perfectly side by side by no adult at all. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty,Let the ordinary be enough.,"The smallest shoes by the door were placed perfectly side by side by no adult at all. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty

Let the ordinary be enough.",The smallest shoes by the door were placed perfectly side by side by no adult at all. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Start noticing with Nazar.,"The smallest shoes by the door were placed perfectly side by side by no adult at all. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Start noticing with Nazar."
34,reels/nazar-reel-034.mp4,family moments,10,after dinner,"Someone left one green bean on the plate, and my sister called it a survivor.","Someone left one green bean on the plate, and my sister called it a survivor.",What small family gesture did you want to keep?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Save it in Nazar.,"Someone left one green bean on the plate, and my sister called it a survivor.

What small family gesture did you want to keep?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Save it in Nazar.","Someone left one green bean on the plate, and my sister called it a survivor.",Who would understand this kind of noticing?,#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis,Keep this for your next quiet moment.,"Someone left one green bean on the plate, and my sister called it a survivor.

Who would understand this kind of noticing?

#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis

Keep this for your next quiet moment.","Someone left one green bean on the plate, and my sister called it a survivor. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty,Let one small thing stay with you.,"Someone left one green bean on the plate, and my sister called it a survivor. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty

Let one small thing stay with you.","Someone left one green bean on the plate, and my sister called it a survivor. Nazar gives these small observations a quiet place to live.",What did you notice that you would want to remember later?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Keep it in Nazar.,"Someone left one green bean on the plate, and my sister called it a survivor. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Keep it in Nazar."
35,reels/nazar-reel-035.mp4,family moments,11,birthday candle,The candle smoke curled toward my grandmother before anyone started clapping.,The candle smoke curled toward my grandmother before anyone started clapping.,What ordinary kindness happened in your home today?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Open Nazar when something small stays with you.,"The candle smoke curled toward my grandmother before anyone started clapping.

What ordinary kindness happened in your home today?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Open Nazar when something small stays with you.",The candle smoke curled toward my grandmother before anyone started clapping.,What is the smallest thing you saved today?,#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis,Send it to the friend who notices everything.,"The candle smoke curled toward my grandmother before anyone started clapping.

What is the smallest thing you saved today?

#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis

Send it to the friend who notices everything.","The candle smoke curled toward my grandmother before anyone started clapping. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty,Keep looking softly.,"The candle smoke curled toward my grandmother before anyone started clapping. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty

Keep looking softly.",The candle smoke curled toward my grandmother before anyone started clapping. Nazar gives these small observations a quiet place to live.,What did today give you that is worth writing down?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Open Nazar and save one thing.,"The candle smoke curled toward my grandmother before anyone started clapping. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Open Nazar and save one thing."
36,reels/nazar-reel-036.mp4,family moments,12,folded blanket,The blanket on the sofa still had the shape of the person who had just left.,The blanket on the sofa still had the shape of the person who had just left.,What detail made someone feel especially familiar?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Try Nazar.,"The blanket on the sofa still had the shape of the person who had just left.

What detail made someone feel especially familiar?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Try Nazar.",The blanket on the sofa still had the shape of the person who had just left.,Would you have noticed this?,#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis,Send this to someone who notices small things.,"The blanket on the sofa still had the shape of the person who had just left.

Would you have noticed this?

#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis

Send this to someone who notices small things.","The blanket on the sofa still had the shape of the person who had just left. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty,Return to the smallest true thing.,"The blanket on the sofa still had the shape of the person who had just left. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty

Return to the smallest true thing.",The blanket on the sofa still had the shape of the person who had just left. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Try Nazar.,"The blanket on the sofa still had the shape of the person who had just left. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Try Nazar."
37,reels/nazar-reel-037.mp4,family moments,8,phone brightness,My brother dimmed my mother's phone for her without pausing the conversation.,My brother dimmed my mother's phone for her without pausing the conversation.,What small family gesture did you want to keep?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Keep one small thing in Nazar.,"My brother dimmed my mother's phone for her without pausing the conversation.

What small family gesture did you want to keep?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Keep one small thing in Nazar.",My brother dimmed my mother's phone for her without pausing the conversation.,What tiny detail did you almost miss today?,#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis,Save this before the day gets loud.,"My brother dimmed my mother's phone for her without pausing the conversation.

What tiny detail did you almost miss today?

#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis

Save this before the day gets loud.","My brother dimmed my mother's phone for her without pausing the conversation. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty,Carry the detail with you.,"My brother dimmed my mother's phone for her without pausing the conversation. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty

Carry the detail with you.",My brother dimmed my mother's phone for her without pausing the conversation. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Download Nazar.,"My brother dimmed my mother's phone for her without pausing the conversation. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Download Nazar."
38,reels/nazar-reel-038.mp4,family moments,9,old recipe,The recipe card had oil spots exactly where her hand must have rested each time.,The recipe card had oil spots exactly where her hand must have rested each time.,What ordinary kindness happened in your home today?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Notice with Nazar.,"The recipe card had oil spots exactly where her hand must have rested each time.

What ordinary kindness happened in your home today?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Notice with Nazar.",The recipe card had oil spots exactly where her hand must have rested each time.,Why do moments like this stay with us?,#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis,Share this with someone who would understand.,"The recipe card had oil spots exactly where her hand must have rested each time.

Why do moments like this stay with us?

#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis

Share this with someone who would understand.","The recipe card had oil spots exactly where her hand must have rested each time. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty,Let the ordinary be enough.,"The recipe card had oil spots exactly where her hand must have rested each time. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty

Let the ordinary be enough.",The recipe card had oil spots exactly where her hand must have rested each time. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Start noticing with Nazar.,"The recipe card had oil spots exactly where her hand must have rested each time. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Start noticing with Nazar."
39,reels/nazar-reel-039.mp4,family moments,10,bath time,"A rubber duck floated alone after the bathwater drained, looking professionally patient.","A rubber duck floated alone after the bathwater drained, looking professionally patient.",What detail made someone feel especially familiar?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Save it in Nazar.,"A rubber duck floated alone after the bathwater drained, looking professionally patient.

What detail made someone feel especially familiar?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Save it in Nazar.","A rubber duck floated alone after the bathwater drained, looking professionally patient.",Who would understand this kind of noticing?,#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis,Keep this for your next quiet moment.,"A rubber duck floated alone after the bathwater drained, looking professionally patient.

Who would understand this kind of noticing?

#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis

Keep this for your next quiet moment.","A rubber duck floated alone after the bathwater drained, looking professionally patient. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty,Let one small thing stay with you.,"A rubber duck floated alone after the bathwater drained, looking professionally patient. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty

Let one small thing stay with you.","A rubber duck floated alone after the bathwater drained, looking professionally patient. Nazar gives these small observations a quiet place to live.",What did you notice that you would want to remember later?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Keep it in Nazar.,"A rubber duck floated alone after the bathwater drained, looking professionally patient. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Keep it in Nazar."
40,reels/nazar-reel-040.mp4,family moments,11,front step,My aunt brushed invisible lint from my coat before saying goodbye.,My aunt brushed invisible lint from my coat before saying goodbye.,What small family gesture did you want to keep?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Open Nazar when something small stays with you.,"My aunt brushed invisible lint from my coat before saying goodbye.

What small family gesture did you want to keep?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Open Nazar when something small stays with you.",My aunt brushed invisible lint from my coat before saying goodbye.,What is the smallest thing you saved today?,#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis,Send it to the friend who notices everything.,"My aunt brushed invisible lint from my coat before saying goodbye.

What is the smallest thing you saved today?

#nazarapp #familymoments #tenderness #smallbeautifulthings #sharethis

Send it to the friend who notices everything.","My aunt brushed invisible lint from my coat before saying goodbye. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty,Keep looking softly.,"My aunt brushed invisible lint from my coat before saying goodbye. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #familymoments #tenderness #smallbeautifulthings #quietbeauty

Keep looking softly.",My aunt brushed invisible lint from my coat before saying goodbye. Nazar gives these small observations a quiet place to live.,What did today give you that is worth writing down?,#nazarapp #familymoments #tenderness #smallbeautifulthings,Open Nazar and save one thing.,"My aunt brushed invisible lint from my coat before saying goodbye. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #familymoments #tenderness #smallbeautifulthings

Open Nazar and save one thing."
41,reels/nazar-reel-041.mp4,nostalgia,7,jacket pocket,"I found a movie ticket in my jacket pocket, soft at the fold from a night I thought I forgot.","I found a movie ticket in my jacket pocket, soft at the fold from a night I thought I forgot.",What object brought a whole year back for a second?,#nazarapp #nostalgia #memorykeeping #dailyritual,Try Nazar.,"I found a movie ticket in my jacket pocket, soft at the fold from a night I thought I forgot.

What object brought a whole year back for a second?

#nazarapp #nostalgia #memorykeeping #dailyritual

Try Nazar.","I found a movie ticket in my jacket pocket, soft at the fold from a night I thought I forgot.",Would you have noticed this?,#nazarapp #nostalgia #memorykeeping #dailyritual #sharethis,Send this to someone who notices small things.,"I found a movie ticket in my jacket pocket, soft at the fold from a night I thought I forgot.

Would you have noticed this?

#nazarapp #nostalgia #memorykeeping #dailyritual #sharethis

Send this to someone who notices small things.","I found a movie ticket in my jacket pocket, soft at the fold from a night I thought I forgot. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #nostalgia #memorykeeping #dailyritual #quietbeauty,Return to the smallest true thing.,"I found a movie ticket in my jacket pocket, soft at the fold from a night I thought I forgot. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #nostalgia #memorykeeping #dailyritual #quietbeauty

Return to the smallest true thing.","I found a movie ticket in my jacket pocket, soft at the fold from a night I thought I forgot. Nazar gives these small observations a quiet place to live.",What small observation belongs in your Nazar journal?,#nazarapp #nostalgia #memorykeeping #dailyritual,Try Nazar.,"I found a movie ticket in my jacket pocket, soft at the fold from a night I thought I forgot. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #nostalgia #memorykeeping #dailyritual

Try Nazar."
42,reels/nazar-reel-042.mp4,nostalgia,8,old password,An old password hint brought back an entire apartment I have not lived in for years.,An old password hint brought back an entire apartment I have not lived in for years.,"What memory returned through texture, sound, or smell?",#nazarapp #nostalgia #memorykeeping #dailyritual,Keep one small thing in Nazar.,"An old password hint brought back an entire apartment I have not lived in for years.

What memory returned through texture, sound, or smell?

#nazarapp #nostalgia #memorykeeping #dailyritual

Keep one small thing in Nazar.",An old password hint brought back an entire apartment I have not lived in for years.,What tiny detail did you almost miss today?,#nazarapp #nostalgia #memorykeeping #dailyritual #sharethis,Save this before the day gets loud.,"An old password hint brought back an entire apartment I have not lived in for years.

What tiny detail did you almost miss today?

#nazarapp #nostalgia #memorykeeping #dailyritual #sharethis

Save this before the day gets loud.","An old password hint brought back an entire apartment I have not lived in for years. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #nostalgia #memorykeeping #dailyritual #quietbeauty,Carry the detail with you.,"An old password hint brought back an entire apartment I have not lived in for years. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #nostalgia #memorykeeping #dailyritual #quietbeauty

Carry the detail with you.",An old password hint brought back an entire apartment I have not lived in for years. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #nostalgia #memorykeeping #dailyritual,Download Nazar.,"An old password hint brought back an entire apartment I have not lived in for years. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #nostalgia #memorykeeping #dailyritual

Download Nazar."
